Product,Regular price,Sale price,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Energy (kcal),Carbohydrates,Sugars,Added sugars,Fats,Saturated fats,Unsaturated fats,Protein,Fiber,Salt
Heinz Spicy burger sauce,1.89,NA,"Soepen, sauzen, kruiden, olie",Sauzen,BBQ sauzen,NA,NA,NA,543,6.6,5.7,NA,56,6.5,NA,1.7,NA,1.3
Garden Gourmet Kipfilet,2.39,NA,"Vegetarisch, vegan en plantaardig",Vegetarische en plantaardige vleeswaren,Vegetarische vleeswaren,NA,NA,NA,194,4.6,2.1,NA,15,1.8,NA,8.7,3.1,2.3
Garden Gourmet Kipfilet tuinkruiden,2.39,NA,"Vegetarisch, vegan en plantaardig",Vegetarische en plantaardige vleeswaren,Vegetarische vleeswaren,NA,NA,NA,194,4.5,2,NA,15,1.7,NA,8.6,3.1,2.3
Chateau Leoube Love by Léoubec,14.29,NA,Wijn en bubbels,Rosé,Diverse rosé,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Milka Chocolade wafer,4.29,NA,"Snoep, chocolade, koek",Koek,Koekjes met chocolade,NA,NA,NA,535,56,43,NA,31,18,NA,6.7,2.8,0.28
Van Delft Dubbeldikjes pure chocolade,1.59,NA,"Snoep, chocolade, koek",Koek,Koekjes met chocolade,NA,NA,NA,456,68,33,NA,16,9,NA,7.6,3.6,0.75
Look-O-Look Cherrysticks,2.29,NA,"Snoep, chocolade, koek",Snoep,Zachte snoep,Snoepmix,NA,NA,360,85,56,NA,1.4,1.2,NA,1.5,NA,0.07
Klene Puur zoethout,2.99,NA,"Snoep, chocolade, koek",Snoep,Zachte snoep,Zoete drop (zacht),NA,NA,326,73,44,NA,0.2,0.2,NA,7.5,NA,0.08
Katja Regenboog geluk,2.59,NA,"Snoep, chocolade, koek",Snoep,Zachte snoep,Winegums,NA,NA,348,85,59,NA,0.2,0,NA,0.1,NA,0.03
Remia Fritessaus zero sugar,1.99,NA,"Soepen, sauzen, kruiden, olie",Sauzen,"Snacksauzen, mayonaise",Fritessaus,NA,NA,130,9.8,0,NA,10,0.9,NA,0.6,NA,1.5
AH Roasted gehakt,2.79,NA,"Kaas, vleeswaren, tapas",Vleeswaren,Vleeswaren vers,Gegrild en gebraden gehakt (versafdeling),NA,NA,267,4.4,0.7,NA,21,7.5,14,15,0,2.35
Royal Zongedroogde tomaten,2.95,NA,"Soepen, sauzen, kruiden, olie",Sauzen,Pastasauzen,Pastasaus in pot,NA,NA,156,19,18.2,NA,0.5,0,NA,9.5,18.4,10
Almhof Choco met echte slagroom karamel,1.45,NA,"Zuivel, eieren, boter",Toetjes,Luxe toetjes,NA,NA,NA,168,17.9,15.1,NA,9.1,5.8,NA,3.4,NA,0.16
Müller Mullermilk strawberry,1.59,NA,"Zuivel, eieren, boter",Drinkyoghurt,NA,NA,NA,NA,64,9.5,9.5,NA,1.4,0.9,NA,3.2,NA,0.14
Melkunie Breaker cheesecake framboos yoghurt,1.59,NA,"Zuivel, eieren, boter",Zuivel tussendoortjes (voor thuis en onderweg),Yoghurt tussendoortjes,NA,NA,NA,89,11,10,NA,3,2,NA,3.2,NA,0.1
Starbucks Frappuccino cookies & cream,2.29,NA,"Zuivel, eieren, boter",Zuivel tussendoortjes (voor thuis en onderweg),IJskoffie,NA,NA,NA,65,9.8,9.41,NA,1.6,1,NA,2.8,NA,0.09
Starbucks Chocolate hazelnut flavour cappuccino,2.09,NA,"Zuivel, eieren, boter",Zuivel tussendoortjes (voor thuis en onderweg),IJskoffie,NA,NA,NA,63,9,8.6,NA,1.6,1,NA,2.9,NA,0.13
Melkunie Protein chocolade shake,1.59,NA,"Zuivel, eieren, boter",High Protein Zuivel,High Protein Tussendoortjes,High Protein Drinks,NA,NA,63,6.6,4.7,NA,1.2,0.8,NA,8.1,NA,0.2
Oreo Cheesecake,3.99,NA,"Zuivel, eieren, boter",Toetjes,Luxe toetjes,NA,NA,NA,343,47,31,NA,15,7.8,NA,4.5,1.2,0.56
Calvé Samba saus,2.99,NA,"Soepen, sauzen, kruiden, olie",Sauzen,"Snacksauzen, mayonaise",Variatiesauzen,NA,NA,40,2.7,2.2,NA,3.3,0.3,NA,0.5,NA,0.29
Hela Kruiden ketchup curry extra hot,2.69,NA,"Soepen, sauzen, kruiden, olie",Sauzen,"Snacksauzen, mayonaise",Ketchup,NA,NA,136,31.5,29,NA,0.3,0.1,NA,0.8,NA,2
Garden Gourmet Smeerworst,2.39,NA,"Vegetarisch, vegan en plantaardig",Vegetarische en plantaardige vleeswaren,Vegetarische vleeswaren,NA,NA,NA,203,7,2.5,NA,15,5,NA,7.3,5.2,1.4
Mutti Pizzasaus classica,2.29,NA,"Soepen, sauzen, kruiden, olie",Sauzen,Pastasauzen,Pizzasaus,NA,NA,37,5.9,5.2,NA,0,0,NA,1.7,NA,0.53
Heinz Burger Sauce,1.79,NA,"Soepen, sauzen, kruiden, olie",Sauzen,BBQ sauzen,NA,NA,NA,375,12,9.3,NA,36,3.1,NA,1,NA,2.1
Lagartijo Rueda verdejo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LU Mikado puur,1.95,NA,"Snoep, chocolade, koek",Koek,Koek bites,NA,NA,NA,468,66,32,NA,18,11,NA,6.4,5.6,0.78
AH Roomboter cupcake naturel,2.15,NA,"Snoep, chocolade, koek",Koek,Cake,Cakejes,NA,NA,467,51,26,NA,25,12,12,5.4,0.5,0.3
AH Roomboter cupcake marmer,2.15,NA,"Snoep, chocolade, koek",Koek,Cake,Cakejes,NA,NA,456,52,27,NA,23,11,11,5.5,0.9,0.28
AH Muffin vanille,1.69,NA,"Snoep, chocolade, koek",Koek,Cake,Cakejes,NA,NA,443,48,28,NA,24,3.1,21,4.9,0.4,0.7
AH Muffin choco,1.69,NA,"Snoep, chocolade, koek",Koek,Cake,Cakejes,NA,NA,440,49,32,NA,23,4,19,5.3,1.9,0.6
Calvé Ravigote,2.99,NA,"Soepen, sauzen, kruiden, olie",Sauzen,"Snacksauzen, mayonaise","Ravigottesaus, tartare saus",NA,NA,405,7.8,5.2,NA,41,3.3,NA,0.8,NA,1.8
Garden Gourmet Smeerworst tuinkruiden,2.39,NA,"Vegetarisch, vegan en plantaardig",Vegetarische en plantaardige vleeswaren,Vegetarische vleeswaren,NA,NA,NA,197,6,2.5,NA,15,4.9,NA,6.8,5.4,1.7
Gillette Proglide scheersysteem,19.49,NA,Drogisterij,Lichaamsverzorging,Scheren en ontharen,Scheren en ontharen mannen,Scheermesjes - mannen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Van Delft Dubbeldikjes melkchocolade,1.59,NA,"Snoep, chocolade, koek",Koek,Koekjes met chocolade,NA,NA,NA,441,66,33,NA,16,9.2,NA,7.1,1.8,0.78
Blue Band Kookroom 100% plantaardig en vegan,1.59,NA,"Zuivel, eieren, boter","Creme fraiche, slagroom, kookroom, kokosmelk",Kookroom,NA,NA,NA,156,4.8,1.5,NA,15,6.2,NA,0.6,NA,0.12
Velo Smartphonehouder,3.0,NA,"Koken, tafelen, vrije tijd","Hobby, vrije tijd",Fiets artikelen,Fiets verlichting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Velo Smartphonehouder waterdicht,15.99,NA,"Koken, tafelen, vrije tijd","Hobby, vrije tijd",Fiets artikelen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garden Gourmet Boterhamworst,2.19,NA,"Vegetarisch, vegan en plantaardig",Vegetarische en plantaardige vleeswaren,Vegetarische vleeswaren,NA,NA,NA,191,5.7,3.1,NA,14,1.7,NA,8.9,3.4,2
Milka Happy birthday pralines melk créme,2.99,NA,"Snoep, chocolade, koek",Chocolade,Chocolade geschenken,NA,NA,NA,567,54,53,NA,36,20,NA,5.3,1.1,0.38
Milka Party mix,3.99,NA,"Snoep, chocolade, koek",Chocolade,Chocolade geschenken,NA,NA,NA,542,59,55,NA,31,17,NA,5.1,1.8,0.36
Maltesers Melkchocolade,2.49,NA,"Snoep, chocolade, koek",Chocolade,Chocoladesnoepjes,NA,NA,NA,504,62,53,NA,25,15,NA,8.5,NA,0.37
Wasted beers Casino blond,2.69,NA,Bier en aperitieven,Speciaalbier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BitesWeLove Crunchy peas sour cream & jalapeno,2.39,NA,NA,NA,NA,NA,NA,NA,414,53.7,6.8,NA,12.8,1.2,NA,14.8,11.9,0.9
Bonne Maman Rode vruchten,3.89,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Jam en marmelade,Zoete beleg (suikerbewust),NA,NA,165,39,39,NA,0.2,0,NA,0.6,2.3,0
Marmite Yeast extract,5.79,NA,Ontbijtgranen en beleg,Hartig broodbeleg,Marmite,NA,NA,NA,260,30,1.2,NA,0,0,NA,34,NA,10.8
Zonnatura Groene thee citrus echinacea,2.59,NA,"Koffie, thee",Thee,Kruidenthee,Kruidenthee eenkops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Biologisch Broccoli burger,2.69,NA,"Vegetarisch, vegan en plantaardig",Vleesvervangers,Vegetarische burgers,NA,NA,NA,218,27,1.7,NA,9.4,1.1,8.3,4.3,3.9,1.3
AH Vegetarische kaasschnitzel,4.49,NA,"Vegetarisch, vegan en plantaardig",Vleesvervangers,Vegetarische schnitzel,NA,NA,NA,286,23,0.9,NA,16,7.6,8.5,12,1.2,2.28
Beyond Meat Hack,4.29,NA,"Vegetarisch, vegan en plantaardig",Vleesvervangers,Vegetarisch gehakt,NA,NA,NA,196,5.6,0.6,NA,12,2.9,NA,16,1.2,0.75
Vegetarische Slager Vegan kipleckere nuggets,3.99,NA,"Vegetarisch, vegan en plantaardig",Vega(n) Snacks,NA,NA,NA,NA,224,19,0.5,NA,11,0.9,NA,9,6.4,1.5
Vivera Plantaardig kruimgehakt,3.19,NA,"Vegetarisch, vegan en plantaardig",Vleesvervangers,Vegetarisch gehakt,NA,NA,NA,105,1.9,0.7,NA,0.6,0.1,NA,20,5.8,1.1
Vivera Plantaardige balletjes,3.15,NA,"Vegetarisch, vegan en plantaardig",Vleesvervangers,"Falafel, vega balletjes",Vega Balletjes,NA,NA,171,7.6,0,NA,7.3,0.8,NA,17,2.2,1.3
Vivera Plantaardige kroketburger,3.19,NA,"Vegetarisch, vegan en plantaardig",Vleesvervangers,Vegetarische burgers,NA,NA,NA,198,21,0,NA,8.1,0.8,NA,7.8,3.7,1.5
BioToday Abrikoos-hazelnootreep less sugar,2.89,NA,Tussendoortjes,Fruitrepen,NA,NA,NA,NA,495,49,19,NA,26,3.4,NA,13,5.7,0.02
Valess Vegetarische saté schnitzel,3.69,2.77,"Vegetarisch, vegan en plantaardig",Vleesvervangers,Vegetarische schnitzel,NA,NA,NA,212,20,4.3,NA,8.8,1.1,NA,11.1,4.1,1.5
De Ruijter Vlokfeest chocoladevlokken,2.99,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Vlokken,NA,NA,NA,451,76,74,NA,14,10,NA,2.6,NA,0.01
Poppies Macarons,2.99,NA,Bakkerij,Zoete snacks,Macarons,NA,NA,NA,465,58,57,NA,22,8.3,NA,7.9,1.8,0.14
Knoppers Coconut bar,2.79,NA,"Snoep, chocolade, koek",Chocolade,Candybars,Candybars multipack,NA,NA,518,54.1,41.6,NA,30.2,19.3,NA,6.7,NA,0.43
Maltesers Melkchocolade,5.49,NA,"Snoep, chocolade, koek",Chocolade,Chocoladesnoepjes,NA,NA,NA,503,62,53,NA,25,15,NA,8.5,NA,0.38
Swirl Vuilniszakken met handvatten 10L,2.49,NA,Huishouden,"Huishoudfolies, huishoudzakken",Vuilniszakken,Pedaalemmerzakken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garden Gourmet Sensational oosterse stukjes,4.19,NA,"Vegetarisch, vegan en plantaardig",Vleesvervangers,Vegetarische kip,Vegetarische stukjes,NA,NA,151,2.9,2.1,NA,5.9,0.6,NA,18.8,5.8,1.3
Teisseire Zero bosvruchten siroop,4.25,NA,"Frisdrank, sappen, siropen, water",Siroop,Limonadesiroop (suikervrij),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teisseire Zero sinaasappel siroop,4.25,NA,"Frisdrank, sappen, siropen, water",Siroop,Limonadesiroop (suikervrij),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teisseire Zero cassis siroop,4.25,NA,"Frisdrank, sappen, siropen, water",Siroop,Limonadesiroop (suikervrij),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teisseire Zero citroen limoen siroop,4.25,NA,"Frisdrank, sappen, siropen, water",Siroop,Limonadesiroop (suikervrij),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teisseire Zero tropical siroop,4.25,NA,"Frisdrank, sappen, siropen, water",Siroop,Limonadesiroop (suikervrij),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teisseire Zero aardbei framboos siroop,4.25,NA,"Frisdrank, sappen, siropen, water",Siroop,Limonadesiroop (suikervrij),NA,NA,NA,13,3.2,1,NA,0,0,NA,0,NA,0.03
Teisseire Zero grenadine siroop,4.25,NA,"Frisdrank, sappen, siropen, water",Siroop,Limonadesiroop (suikervrij),NA,NA,NA,11,3.1,0.7,NA,0,0,NA,0,NA,0.03
De Ruijter Specials hagelslag intens puur,2.99,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Strooisels,Hagelslag,NA,NA,420,48,43,NA,20,12,NA,8.9,NA,0
De Ruijter Chocoladevlokken puur,2.99,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Vlokken,NA,NA,NA,443,66,63,NA,16,9.5,NA,5.2,NA,0.01
De Ruijter Chocoladehagel melk,2.69,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Strooisels,Hagelslag,NA,NA,450,72,71,NA,15,9.2,NA,5.7,NA,0.12
De Ruijter Chocoladehagel puur,2.69,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Strooisels,Hagelslag,NA,NA,428,67,64,NA,15,8.8,NA,5,NA,0.02
De Ruijter Royaal chocolade vlokken extra puur,3.29,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Vlokken,NA,NA,NA,441,60,56,NA,19,11,NA,6.3,NA,0.01
De Ruijter Chocoladehagel puur voordeelverpakking,3.99,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Strooisels,Hagelslag,NA,NA,428,67,64,NA,15,8.8,NA,5,NA,0.02
De Ruijter Chocoladehagel melk,3.99,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Strooisels,Hagelslag,NA,NA,450,72,71,NA,15,9.2,NA,5.7,NA,0.12
De Ruijter Specials extra puur,2.99,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Strooisels,Hagelslag,NA,NA,430,55,52,NA,18,11,NA,7.5,NA,0.03
De Ruijter Witte vlokken,2.99,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Vlokken,NA,NA,NA,460,77,77,NA,14,8.7,NA,5.9,NA,0.22
De Ruijter Royaal chocoladehagel extra puur,3.99,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Strooisels,Hagelslag,NA,NA,425,58,54,NA,17,10,NA,7,NA,0.02
De Ruijter Hagelfeest,3.79,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Strooisels,Hagelslag,NA,NA,442,76,72,NA,14,10,NA,2.8,NA,0.01
De Ruijter Chocoladevlokken melk,2.99,NA,Ontbijtgranen en beleg,Zoet broodbeleg,Vlokken,NA,NA,NA,452,72,70,NA,15,9.3,NA,5.8,NA,0.12
Swirl Embossed trekband,2.99,NA,Huishouden,"Huishoudfolies, huishoudzakken",Vuilniszakken,Treksluitzakken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vegetarische Slager Vegan ereburger,5.49,NA,"Vegetarisch, vegan en plantaardig",Vleesvervangers,Vegetarische burgers,NA,NA,NA,196,3.7,0.7,NA,13,3.9,NA,12,5.3,0.69
Ritter Sport Cashew,1.69,NA,"Snoep, chocolade, koek",Chocolade,Repen en tabletten,Melkchocolade repen,Melkchocolade met noten,NA,545,52,47,NA,33,16,NA,8.4,NA,0.47
Hands Off Caramel seasalt hazelnut praline,2.85,NA,"Snoep, chocolade, koek",Chocolade,Repen en tabletten,Melkchocolade repen,Melkchocolade met smaak,NA,542,48,44,NA,34,18,NA,8.6,NA,0.66
AH Chocosticks,1.65,NA,Diepvries,IJs,Room handijs,NA,NA,NA,224,25,19,NA,13,12,1.3,1.5,0.3,0.13
AH Choco white,2.69,NA,Diepvries,IJs,Room handijs,NA,NA,NA,321,32,30,NA,20,15,5,3.3,0.1,0.28
Snickers Ijs beker,6.99,NA,Diepvries,IJs,Roomijs premium,NA,NA,NA,202,21,17,NA,11,5.6,NA,3.8,NA,0.21
Lotus Biscoff Speculoos roomijs witte chocolade,4.39,NA,Diepvries,IJs,Room handijs,NA,NA,NA,436,41,33,NA,29,13,NA,3.3,0.3,0.41
Hertog Ijssalon mini cookie crumble,1.89,NA,"Zuivel, eieren, boter",Toetjes,Roomijs,Roomschepijs,NA,NA,207,30,25,NA,8.1,7.1,NA,3,NA,0.09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Magnum Double gold caramel billionaire,6.19,NA,Diepvries,IJs,Roomijs premium,NA,NA,NA,304,34,27,NA,17,11,NA,3.8,NA,0.25
Loriana Piadina glutenfree,4.39,NA,"Pasta, rijst en wereldkeuken",Mexicaanse keuken,Glutenvrije wraps,NA,NA,NA,300,47,1.1,NA,8.7,1.3,NA,6,4.6,2
Dove Deeply nourishing douchegel,5.19,NA,Drogisterij,Lichaamsverzorging,Bad en douche,Douchecreme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dove Deeply nourishing douchegel,8.29,NA,Drogisterij,Lichaamsverzorging,Bad en douche,Douchecreme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streeckgenoten Bio geitenkaas fenegriek 48+ plak,6.21,NA,Ontbijtgranen en beleg,Kaas beleg,Plakken kaas,Geitenkaas (plakken),NA,NA,342,0.5,0.5,NA,28,19,NA,22,0,1.5
Nivea Magnesium dry anti-transpirant roller,5.99,NA,Drogisterij,Lichaamsverzorging,Deodorant,Deodorant vrouwen,Deoroller vrouwen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halotop Gooey brownie,6.29,NA,Diepvries,IJs,Roomijs premium,NA,NA,NA,127,20,11,NA,3.8,2.2,NA,4.5,NA,0.57
Magnum Double gold caramel billionaire,4.99,NA,Diepvries,IJs,Room handijs,NA,NA,NA,325,38,29,NA,17,12,NA,4.4,NA,0.33
Magnum Mini double gold caramel,5.99,NA,Diepvries,IJs,Room handijs,NA,NA,NA,343,39,30,NA,19,12,NA,4.7,NA,0.32
AH Trio met roomboter,2.79,NA,"Zuivel, eieren, boter",Boter en margarine,Boter en margarine voor op brood,Kruidenboter,NA,NA,669,1.9,1.4,NA,73,49,23,0.9,0.2,1.45
AH Greenfields Ah grf carpaccio honing mosterd,3.99,NA,"Kaas, vleeswaren, tapas",Vleeswaren,Carpaccio (versafdeling),NA,NA,NA,146,2.7,2.5,NA,6.5,2.9,3.6,19,0.1,2.13
AH Terra Plantaardige hummus zoete peper,2.49,NA,"Kaas, vleeswaren, tapas",Hummus,Hummus met smaakje,NA,NA,NA,212,15,10,NA,12,1.7,9.6,6.3,9.6,1.2
Fish Tales Sardines in pittige tomatensaus,2.99,NA,"Vlees, vis",Vis,Visconserven,Sardines (conserven),NA,NA,295,2,1.6,NA,24.9,5.6,NA,15.2,NA,1.28
Prewetts White chocolate & cranberry cookies,3.89,NA,"Snoep, chocolade, koek",Koek,Glutenvrije koek,NA,NA,NA,449,55.5,33.2,NA,22,12.9,NA,5.3,NA,0.8
Prewetts Quadruple chocolate cookies,3.79,NA,"Snoep, chocolade, koek",Koek,Glutenvrije koek,NA,NA,NA,500,56.2,37.7,NA,27.4,16.6,NA,5.6,NA,0.7
Prewetts Enrobed vanilla creams,3.79,NA,"Snoep, chocolade, koek",Koek,Glutenvrije koek,NA,NA,NA,518,63.6,43.3,NA,25.6,13.6,NA,7,NA,0.23
Grisette Bio blond,2.09,NA,Bier en aperitieven,Bier,Bier glutenvrij,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Itsu Katsu rice noodles,1.99,NA,NA,NA,NA,NA,NA,NA,61,13,1.4,NA,0.3,0.1,NA,1.1,0.9,0.73
Itsu Chili miso rice noodles,1.99,NA,"Pasta, rijst en wereldkeuken","Pasta, rijst, noedels","Noedels, mie",Glutenvrije noedels,NA,NA,66,13,0.8,NA,0.7,0.1,NA,1.5,0.6,0.78
Peak's Pancake shaker glutenvrij,3.39,NA,"Salades, pizza, maaltijden","Pannenkoeken, poffertjes",Pannenkoekenmix,Pannenkoekenmix (glutenvrij),NA,NA,350,77.7,2.8,NA,1.9,0.56,NA,5.2,0.7,1.15
AH Glutenvrij Cornflakes,1.29,NA,Ontbijtgranen en beleg,Ontbijtgranen,(Corn)flakes,NA,NA,NA,371,80,4.1,NA,1,0.2,0.8,8,5,0.9
AH Glutenvrij Vezelrijke haverpops,2.99,NA,Ontbijtgranen en beleg,Ontbijtgranen,Krokante muesli,Muesli (naturel),NA,NA,400,70,14,NA,7.3,1.2,6.1,10,6.9,0.03
Schär Bagels,4.89,NA,Bakkerij,Brood,Glutenvrij brood,NA,NA,NA,278,53,11,NA,3.7,0.5,NA,4.4,7,1.8
Schär Cereal crackers glutenvrij,3.69,NA,Ontbijtgranen en beleg,"Crackers, rijstwafels","Glutenvrije crackers, knackebrod",NA,NA,NA,477,73,3.8,NA,15,5.1,NA,7,11,1.7
Schär Salti,3.29,NA,Ontbijtgranen en beleg,"Crackers, rijstwafels","Glutenvrije crackers, knackebrod",NA,NA,NA,442,78,7.4,NA,13,5.9,NA,2.3,1.9,2.3
Schär Madeleines,3.99,NA,"Snoep, chocolade, koek",Koek,Glutenvrije koek,NA,NA,NA,468,56,18,NA,25,2.4,NA,4.3,1.7,0.92
AH Glutenvrij American pancakes,2.75,NA,"Salades, pizza, maaltijden","Pannenkoeken, poffertjes",Pannenkoeken,NA,NA,NA,511,46,24,NA,29,1.7,27,15,2.9,0.58
AH Glutenvrij Belgische wafels,3.29,NA,"Snoep, chocolade, koek",Koek,Glutenvrije koek,NA,NA,NA,428,53,31,NA,20,3.1,17,7.6,2.8,0.58
AH Glutenvrij Vezelrijke kaascrackers,3.39,NA,Ontbijtgranen en beleg,"Crackers, rijstwafels","Glutenvrije crackers, knackebrod",NA,NA,NA,453,43,1.8,NA,23,5.6,16,14,9.2,1.3
AH Glutenvrij Vezelrijke zadencrackers,2.99,NA,Ontbijtgranen en beleg,"Crackers, rijstwafels","Glutenvrije crackers, knackebrod",NA,NA,NA,441,41,1.8,NA,23,2.6,19,12,11,0.9
AH Glutenvrij Vezelrijke broodmix,3.09,NA,Bakkerij,Bakproducten,Glutenvrije bakproducten,Glutenvrije broodmix,NA,NA,292,38,1.6,NA,12,1.3,11,4.8,6.6,0.65
AH Glutenvrij Volkoren havervlokken,2.89,NA,Ontbijtgranen en beleg,Ontbijtgranen,Glutenvrije muesli / cornflakes,NA,NA,NA,365,56,1.5,NA,7,1,6,14,11,0
AH Glutenvrij Vezelrijke macaroni,2.19,NA,"Pasta, rijst en wereldkeuken","Pasta, rijst, noedels",Pasta,Glutenvrije pasta,NA,NA,337,72,0.9,NA,0.5,0.07,0.4,5.5,11,0.05
AH Glutenvrij Ontbijtpap,3.09,NA,Ontbijtgranen en beleg,Ontbijtgranen,Havermout en pap,Ontbijtpap,NA,NA,382,74,0.3,NA,3,0.6,2.2,13,3.5,0
BFree Wraps zoete aardappel,6.09,NA,"Pasta, rijst en wereldkeuken",Mexicaanse keuken,Groente wraps,NA,NA,NA,217,30.9,8.7,NA,1.3,0.4,NA,5.3,17.1,1.2
AH Hark,1.5,NA,"Koken, tafelen, vrije tijd","Bloemen, plantverzorging",Bloemen- en plantverzorging,Tuingereedschap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Verplantschep,1.5,NA,"Koken, tafelen, vrije tijd","Bloemen, plantverzorging",Bloemen- en plantverzorging,Tuingereedschap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Hand voegenkrabber,2.99,NA,"Koken, tafelen, vrije tijd","Bloemen, plantverzorging",Bloemen- en plantverzorging,Tuingereedschap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Tuinhandschoenen,1.99,NA,"Koken, tafelen, vrije tijd","Bloemen, plantverzorging",Bloemen- en plantverzorging,Tuingereedschap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Snoeischaar,1.5,NA,"Koken, tafelen, vrije tijd","Bloemen, plantverzorging",Bloemen- en plantverzorging,Tuingereedschap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ferrero Rocher chocolade,3.39,NA,"Snoep, chocolade, koek",Chocolade,Luxe chocolade,NA,NA,NA,603,44.4,39.9,NA,42.7,14.1,NA,8.2,NA,0.153
Doves Farm Freee plain white flour,4.99,NA,Bakkerij,Bakproducten,Glutenvrije bakproducten,Basismeel (glutenvrij),NA,NA,353,80,0.2,NA,1.3,0.3,NA,5,0.8,0
Doves Farm Freee self raising white flour,4.99,NA,Bakkerij,Bakproducten,Glutenvrije bakproducten,Basismeel (glutenvrij),NA,NA,348,80,0.4,NA,1.1,0.3,NA,4.6,0.2,0.87
Oppo Brothers Gooey chocolate brownie,6.39,NA,Diepvries,IJs,Roomijs premium,NA,NA,NA,98,9.4,6.3,NA,4.5,3,NA,3,NA,0.09
AH Glutenvrij Vezelrijk knäckebröd,2.99,NA,Ontbijtgranen en beleg,"Crackers, rijstwafels","Glutenvrije crackers, knackebrod",NA,NA,NA,388,67,1.6,NA,8.3,1,7.3,7.2,8.1,2.2
AH Glutenvrij Vezelrijke ontbijtkoekreep,1.29,NA,Ontbijtgranen en beleg,Ontbijtkoek,Glutenvrije ontbijtkoek,NA,NA,NA,296,54,10,NA,0.9,0.09,0.4,2.3,11,0.4
AH Glutenvrij Krokante muesli met noten,2.99,NA,Ontbijtgranen en beleg,Ontbijtgranen,Krokante muesli,Krokante muesli (cruesli),Krokante muesli (naturel),NA,407,50,2.5,NA,15,2.9,12,10,16,0.03
AH Glutenvrij Roze koek,1.99,NA,"Snoep, chocolade, koek",Koek,Glutenvrije koek,NA,NA,NA,393,46,28,NA,22,6.6,16,2.7,0.2,0.4
AH Glutenvrij Muffin chocolate chip,2.49,NA,Tussendoortjes,Tussendoortjes (glutenvrij),NA,NA,NA,NA,402,40,23,NA,25,4.9,20,3.3,2.1,1.58
AH Moon crackers,2.19,NA,"Chips, noten, toast, popcorn",Zoutjes,Zoutjes-crackers,NA,NA,NA,375,84,3,NA,0.8,0.2,0.2,7.5,0.9,1.43
AH Borrel krokantjes,2.19,NA,"Chips, noten, toast, popcorn",Zoutjes,Rijstzoutjes,NA,NA,NA,392,79,10,NA,4.4,0.8,3.4,8,2.3,1.45
AH Sweet paprika crackers,2.19,NA,"Chips, noten, toast, popcorn",Zoutjes,Zoutjes-crackers,NA,NA,NA,439,73,4,NA,12,1.4,8.1,7.9,3.9,1.2
AH Edamame crackers,2.19,NA,"Chips, noten, toast, popcorn",Zoutjes,Zoutjes-crackers,NA,NA,NA,424,78,0.5,NA,8.1,1.9,5.8,9,1.3,1.2
